match_id,city,stadium,venue_id,country
12287008,Porto Alegre,Indoor 2,44264,Brazil
12287009,Porto Alegre,Indoor 2,44264,Brazil
12287011,Porto Alegre,Indoor 2,44264,Brazil
12287012,Porto Alegre,Indoor 2,44264,Brazil
12287013,Porto Alegre,Indoor 1,44263,Brazil
12288044,Saint Malo,Central,29581,France
12288048,Saint Malo,Central,29581,France
12288050,Saint Malo,Central,29581,France
12288414,Porto Alegre,Court 3,44228,Brazil
12288415,Porto Alegre,Indoor 2,44264,Brazil
12288416,Porto Alegre,Court 2,44229,Brazil
12288417,Porto Alegre,Indoor 1,44263,Brazil
12288418,Porto Alegre,Court 2,44229,Brazil
12288419,Porto Alegre,Indoor 1,44263,Brazil
12288420,Porto Alegre,Indoor 1,44263,Brazil
12288421,Porto Alegre,Indoor 2,44264,Brazil
12288918,Cagliari,Campo 14,31783,Italy
12288919,Cagliari,Campo 2,31784,Italy
12288920,Cagliari,Campo 2,31784,Italy
12288921,Cagliari,Campo Centrale,31785,Italy
12288922,Cagliari,Campo Centrale,31785,Italy
12288923,Cagliari,Campo Centrale,31785,Italy
12288924,Cagliari,Campo Centrale,31785,Italy
12288925,Cagliari,Campo Centrale,31785,Italy
12288926,Aix-en-Provence,COURT CREDIT AGRICOLE,39312,France
12288929,Aix-en-Provence,COURT CREDIT AGRICOLE,39312,France
12288930,Aix-en-Provence,COURT CREDIT AGRICOLE,39312,France
12288931,Aix-en-Provence,COURT CREDIT AGRICOLE,39312,France
12288932,Aix-en-Provence,COURT CREDIT AGRICOLE,39312,France
12288933,Aix-en-Provence,COURT CREDIT AGRICOLE,39312,France
12289656,Santa Margherita Di Pula,Court 4,34380,Italy
12289658,Anapoima,Court 2,34125,Colombia
12289660,Anapoima,Court 1,34126,Colombia
12289663,Anapoima,Court 7,34131,Colombia
12289664,Anapoima,Court 1,34126,Colombia
12289667,Anapoima,Court 6,34128,Colombia
12289668,Anapoima,Court 2,34125,Colombia
12289670,Anapoima,Court 2,34125,Colombia
12289671,Anapoima,Court 6,34128,Colombia
12289672,Anapoima,Court 1,34126,Colombia
12289675,Anapoima,Court 3,34124,Colombia
12289677,Anapoima,Court 2,34125,Colombia
12289678,Anapoima,Court 1,34126,Colombia
12289690,Anapoima,Court 1,34126,Colombia
12289691,Anapoima,Court 7,34131,Colombia
12290721,Guangzhou,Center Court,41518,China
12291185,Lopota,Court 4,44198,Georgia
12291277,Lopota,Center Court,44179,Georgia
12291304,Varberg,Court 2,25155,Sweden
12291487,Hammamet,Court 7,18289,Tunisia
12291488,Hammamet,Court 6,18336,Tunisia
12291489,Hammamet,Court 4,18290,Tunisia
12291490,Hammamet,Court 8,18581,Tunisia
12291491,Hammamet,Court 5,18337,Tunisia
12291492,Hammamet,Court 3,18292,Tunisia
12291493,Hammamet,Court 3,18292,Tunisia
12291497,Hammamet,Court 8,18581,Tunisia
12291498,Hammamet,Court 6,18336,Tunisia
12291506,Hammamet,Court 4,18290,Tunisia
12291593,Kursumlijska Banja,Court 4,39044,Serbia
12291657,Wiesbaden,Court 3,21333,Germany
12291659,Wiesbaden,Centre Court,44225,Germany
12291660,Wiesbaden,Centre Court,44225,Germany
12291698,Lleida,Centre Court,44253,Spain
12291700,Lleida,Court 1,44254,Spain
12291702,Lleida,Court 2,44262,Spain
12291704,Lleida,Centre Court,44253,Spain
12291706,Lleida,Court 1,44254,Spain
12291709,Lleida,Court 2,44262,Spain
12291711,Lleida,Centre Court,44253,Spain
12291712,Lleida,Court 1,44254,Spain
12291714,Lleida,Centre Court,44253,Spain
12291819,Antalya,Court 2,31437,Turkey
12291832,Antalya,Court 22,28265,Turkey
12291833,Antalya,Court 5,18121,Turkey
12292132,Osijek,Court 5,34773,Croatia
12292140,Osijek,Court 8,34774,Croatia
12292146,Osijek,Court 4,34775,Croatia
12292148,Osijek,Court 7,34770,Croatia
12292151,Osijek,Court 1,39280,Croatia
12292279,Saint Malo,Court 2,26629,France
12292282,Yecla,Court 1,39667,Spain
12292287,Yecla,Court 3,39668,Spain
12292484,Nottingham,Court 4,17207,England
12292485,Nottingham,Court 1,17202,England
12292487,Nottingham,Court 6,23510,England
12292489,Nottingham,Court 2,17205,England
12292490,Nottingham,Court 5,17221,England
12292491,Nottingham,Show Court,44196,England
12292492,Nottingham,Court 5,17221,England
12292681,Orange Park,Court 1,21195,USA
12292682,Orange Park,Court 9,24933,USA
12292683,Orange Park,Court 3,21200,USA
12292684,Orange Park,Court 2,21201,USA
12292685,Orange Park,Court 4,21199,USA
12292688,Orange Park,Court 4,21199,USA
12292689,Orange Park,Court 4,21199,USA
12292691,Orange Park,Court 3,21200,USA
12292692,Orange Park,Court 10,24932,USA
12292693,Orange Park,Court 1,21195,USA
12292694,Orange Park,Court 1,21195,USA
12292820,Anapoima,Court 6,34128,Colombia
12292821,Anapoima,Court 6,34128,Colombia
12292822,Anapoima,Court 6,34128,Colombia
12292823,Anapoima,Court 3,34124,Colombia
12292824,Anapoima,Court 3,34124,Colombia
12292825,Anapoima,Court 7,34131,Colombia
12292826,Anapoima,Court 1,34126,Colombia
12292827,Anapoima,Court 6,34128,Colombia
12292828,Anapoima,Court 1,34126,Colombia
12292829,Anapoima,Court 3,34124,Colombia
12292849,Bonita Springs,Grandstand,25130,USA
12292850,Bonita Springs,Court 2,32078,USA
12292851,Bonita Springs,Championship Court,34729,USA
12292852,Bonita Springs,Grandstand,25130,USA
12292853,Bonita Springs,Court 2,32078,USA
12292860,Bonita Springs,Grandstand,25130,USA
12292861,Bonita Springs,Grandstand,25130,USA
12292863,Bonita Springs,Championship Court,34729,USA
12292876,Orange Park,Court 2,21201,USA
12292877,Orange Park,Court 9,24933,USA
12292878,Orange Park,Court 10,24932,USA
12292930,Anapoima,Court 2,34125,Colombia
12292931,Anapoima,Court 1,34126,Colombia
12292932,Anapoima,Court 3,34124,Colombia
12292933,Anapoima,Court 7,34131,Colombia
12292934,Anapoima,Court 6,34128,Colombia
12292935,Anapoima,Court 7,34131,Colombia
12292936,Anapoima,Court 2,34125,Colombia
12292937,Anapoima,Court 7,34131,Colombia
12292938,Bonita Springs,Court 4,32080,USA
12292939,Bonita Springs,Court 4,32080,USA
12292941,"Boca Raton, FL",Court 11,37879,USA
12292942,"Boca Raton, FL",Court 10,37861,USA
12292943,"Boca Raton, FL",Court 5,37295,USA
12292944,"Boca Raton, FL",Court 11,37879,USA
12292945,"Boca Raton, FL",Court 10,37861,USA
12292946,"Boca Raton, FL",Court 8,37293,USA
12292947,"Boca Raton, FL",Court 8,37293,USA
12292948,"Boca Raton, FL",Court 5,37295,USA
12293427,Gifu,I 2,44265,Japan
12293430,Gifu,I 4,44266,Japan
12293433,Antalya,Court 22,28265,Turkey
12293440,Gifu,I 4,44266,Japan
12293441,Kursumlijska Banja,Court 4,39044,Serbia
12293442,Antalya,Court 5,18121,Turkey
12293445,Kursumlijska Banja,Court 7,41293,Serbia
12293448,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
12293451,Gifu,I 3,44267,Japan
12293457,Monastir,Court 1,23881,Tunisia
12293459,Monastir,Centre Court,34777,Tunisia
12293460,Nottingham,Court 5,17221,England
12293462,Sabadell,Court 4,18547,Spain
12293463,Sabadell,Court 5,18633,Spain
12293464,Sabadell,Court 2,23734,Spain
12293465,Sabadell,Court 3,18546,Spain
12293466,Sabadell,Court 4,18547,Spain
12293468,Sabadell,Court 6,39291,Spain
12293469,Sabadell,Court 4,18547,Spain
12293470,Sabadell,Court 5,18633,Spain
12293471,Varberg,Court 1,25157,Sweden
12293472,Kursumlijska Banja,Court 2,39050,Serbia
12293473,Varberg,Court 3,25156,Sweden
12293474,Orange Park,Court 1,21195,USA
12293475,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
12293476,Nottingham,Court 3,17206,England
12293477,Orange Park,Court 1,21195,USA
12293478,Nottingham,Court 6,23510,England
12293480,Kursumlijska Banja,Court 1,39048,Serbia
12293481,Santa Margherita Di Pula,Court 11,18590,Italy
12293482,Nottingham,Court 4,17207,England
12293483,Santa Margherita Di Pula,Court 11,18590,Italy
12293484,Varberg,Court 1,25157,Sweden
12293485,Nottingham,Court 2,17205,England
12293486,Nottingham,Court 2,17205,England
12293487,Orange Park,Court 2,21201,USA
12293488,Nottingham,Court 1,17202,England
12293489,Osijek,Court 5,34773,Croatia
12293490,Santa Margherita Di Pula,Court 11,18590,Italy
12293491,Osijek,Court 2,34772,Croatia
12293492,Yecla,Court 3,39668,Spain
12293493,Nottingham,Show Court,44196,England
12293494,Osijek,Court 6,34771,Croatia
12293495,Yecla,Court 2,39665,Spain
12293496,Yecla,Court 1,39667,Spain
12293497,Osijek,Court 5,34773,Croatia
12293498,Varberg,Court 2,25155,Sweden
12293499,Antalya,Court 3,18122,Turkey
12293500,Varberg,Court 3,25156,Sweden
12293501,Yecla,Court 3,39668,Spain
12293502,Antalya,Court 1,17286,Turkey
12293503,Osijek,Court 4,34775,Croatia
12293505,Osijek,Court 4,34775,Croatia
12293506,Osijek,Court 8,34774,Croatia
12293507,Osijek,Court 6,34771,Croatia
12293508,Osijek,Court 7,34770,Croatia
12293509,Santa Margherita Di Pula,Court 11,18590,Italy
12293510,Osijek,Court 8,34774,Croatia
12293513,Monastir,Court 5,23362,Tunisia
12293516,Monastir,Centre Court,34777,Tunisia
12293517,Wiesbaden,Centre Court,44225,Germany
12293519,Monastir,Court 4,23364,Tunisia
12293523,Wiesbaden,Court 3,21333,Germany
12293524,Wiesbaden,Court 4,21334,Germany
12293525,Sabadell,Court 3,18546,Spain
12293527,Monastir,Court 3,23363,Tunisia
12293528,Wiesbaden,Court 4,21334,Germany
12293529,Monastir,Court 2,23360,Tunisia
12293530,Wiesbaden,Court 3,21333,Germany
12293531,Monastir,Court 3,23363,Tunisia
12293533,Wiesbaden,Court 3,21333,Germany
12293534,Monastir,Court 1,23881,Tunisia
12293535,Wiesbaden,Centre Court,44225,Germany
12293536,Monastir,Court 4,23364,Tunisia
12293537,Wiesbaden,Centre Court,44225,Germany
12293538,Monastir,Court 6,23890,Tunisia
12293539,Wiesbaden,Court 4,21334,Germany
12293540,Monastir,Court 5,23362,Tunisia
12293541,Monastir,Court 3,23363,Tunisia
12293542,Monastir,Court 3,23363,Tunisia
12293543,Monastir,Court 2,23360,Tunisia
12293544,Monastir,Court 4,23364,Tunisia
12293545,Monastir,Court 5,23362,Tunisia
12293558,Porto Alegre,Indoor 2,44264,Brazil
12293559,Porto Alegre,Indoor 1,44263,Brazil
12293560,Porto Alegre,Indoor 1,44263,Brazil
12293561,Porto Alegre,Indoor 2,44264,Brazil
12293562,Porto Alegre,Indoor 1,44263,Brazil
12293563,Porto Alegre,Indoor 2,44264,Brazil
12293564,Porto Alegre,Indoor 1,44263,Brazil
12293643,Xalapa,Court 5,44234,Mexico
12293644,Xalapa,Stadium,44258,Mexico
12293645,Xalapa,Court 3,44232,Mexico
12293649,Xalapa,Stadium,44258,Mexico
12293650,Xalapa,Stadium,44258,Mexico
12293651,Xalapa,Stadium,44258,Mexico
12293652,Xalapa,Court 5,44234,Mexico
12293653,Xalapa,Stadium,44258,Mexico
12293656,Xalapa,Court 5,44234,Mexico
12293657,Xalapa,Stadium,44258,Mexico
12293726,Kursumlijska Banja,Court 3,39051,Serbia
12293727,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
12293728,Kursumlijska Banja,Court 3,39051,Serbia
12293729,Kursumlijska Banja,Court 1,39048,Serbia
12293730,Kursumlijska Banja,Court 4,39044,Serbia
12293731,Kursumlijska Banja,Court 2,39050,Serbia
12293732,Nottingham,Show Court,44196,England
12293733,Nottingham,COURT 7,22110,England
12293734,Nottingham,Court 4,17207,England
12293735,Nottingham,Court 5,17221,England
12293736,Nottingham,Court 3,17206,England
12293737,Nottingham,Court 2,17205,England
12293738,Nottingham,Court 6,23510,England
12293739,"Boca Raton, FL",Stadium,44256,USA
12293740,Nottingham,Court 1,17202,England
12293741,"Boca Raton, FL",Court 11,37879,USA
12293743,"Boca Raton, FL",Stadium,44256,USA
12293745,"Boca Raton, FL",Stadium,44256,USA
12293747,"Boca Raton, FL",Court 10,37861,USA
12293748,"Boca Raton, FL",Court 10,37861,USA
12293750,"Boca Raton, FL",Court 8,37293,USA
12293751,"Boca Raton, FL",Court 10,37861,USA
12293756,Bonita Springs,Championship Court,34729,USA
12293757,Bonita Springs,Court 2,32078,USA
12293758,Bonita Springs,Grandstand,25130,USA
12293759,Bonita Springs,Championship Court,34729,USA
12293760,Bonita Springs,Court 2,32078,USA
12293761,Bonita Springs,Championship Court,34729,USA
12294022,Gifu,I 2,44265,Japan
12294023,Gifu,I 3,44267,Japan
12294024,Gifu,I 4,44266,Japan
12294025,Gifu,I 3,44267,Japan
12294026,Gifu,I 2,44265,Japan
12294027,Gifu,I 4,44266,Japan
12294068,Guangzhou,Center Court,41518,China
12295042,Yecla,Court 2,39665,Spain
12295043,Yecla,Court 1,39667,Spain
12295044,Yecla,Court 1,39667,Spain
12295045,Yecla,Court 3,39668,Spain
12295046,Yecla,Court 2,39665,Spain
12295047,Yecla,Court 1,39667,Spain
12295048,Yecla,Court 2,39665,Spain
12295101,Santa Margherita Di Pula,Court 11,18590,Italy
12295102,Santa Margherita Di Pula,Court 11,18590,Italy
12295103,Santa Margherita Di Pula,Court 12,19221,Italy
12295104,Santa Margherita Di Pula,Court 12,19221,Italy
12295105,Santa Margherita Di Pula,Court 12,19221,Italy
12295106,Santa Margherita Di Pula,Court 12,19221,Italy
12295107,Santa Margherita Di Pula,Court 12,19221,Italy
12295118,Sabadell,Court 6,39291,Spain
12295121,Santa Margherita Di Pula,Court 8,34403,Italy
12295130,Hammamet,Court 6,18336,Tunisia
12295143,Nottingham,Court 1,17202,England
12295144,Lopota,Court 3,44180,Georgia
12295145,Lopota,Center Court,44179,Georgia
12295148,Hammamet,Court 5,18337,Tunisia
12295149,Sabadell,Court 3,18546,Spain
12295150,Sabadell,Court 2,23734,Spain
12295151,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
12295152,Kursumlijska Banja,Court 4,39044,Serbia
12295153,Kursumlijska Banja,Court 1,39048,Serbia
12295154,Kursumlijska Banja,Court 8,41291,Serbia
12295155,Kursumlijska Banja,Court 4,39044,Serbia
12295156,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
12295157,Kursumlijska Banja,Court 7,41293,Serbia
12295158,Kursumlijska Banja,Court 4,39044,Serbia
12295159,Kursumlijska Banja,Court 7,41293,Serbia
12295160,Kursumlijska Banja,Court 2,39050,Serbia
12295161,Kursumlijska Banja,Court 8,41291,Serbia
12295162,Kursumlijska Banja,Court 3,39051,Serbia
12295163,Kursumlijska Banja,Court 1,39048,Serbia
12295164,Kursumlijska Banja,Court 2,39050,Serbia
12295165,Kursumlijska Banja,Court 3,39051,Serbia
12295172,Hammamet,Court 6,18336,Tunisia
12295181,Santa Margherita Di Pula,Court 8,34403,Italy
12295217,Monastir,Court 1,23881,Tunisia
12295218,Monastir,Centre Court,34777,Tunisia
12295219,Monastir,Court 1,23881,Tunisia
12295220,Monastir,Court 6,23890,Tunisia
12295221,Monastir,Court 6,23890,Tunisia
12295222,Monastir,Centre Court,34777,Tunisia
12295223,Monastir,Court 2,23360,Tunisia
12295227,Lopota,Court 2,44182,Georgia
12295240,Lopota,Center Court,44179,Georgia
12295300,Osijek,Court 5,34773,Croatia
12295301,Osijek,Court 2,34772,Croatia
12295302,Osijek,Court 7,34770,Croatia
12295303,Osijek,Court 1,39280,Croatia
12295304,Osijek,Court 8,34774,Croatia
12295305,Osijek,Court 8,34774,Croatia
12295306,Osijek,Court 5,34773,Croatia
12295352,Nottingham,Court 2,17205,England
12295353,Nottingham,Court 5,17221,England
12295369,Yecla,Court 3,39668,Spain
12295415,Lopota,Court 4,44198,Georgia
12295427,Antalya,Court 3,18122,Turkey
12295428,Antalya,Court 20,28269,Turkey
12295429,Antalya,Court 2,31437,Turkey
12295430,Antalya,Court 21,28266,Turkey
12295431,Antalya,Court 2,31437,Turkey
12295432,Antalya,Court 4,18123,Turkey
12295433,Antalya,Court 4,18123,Turkey
12295434,Antalya,Court 21,28266,Turkey
12295435,Antalya,Court 21,28266,Turkey
12295487,Osijek,Court 1,39280,Croatia
12295488,Osijek,Court 6,34771,Croatia
12295489,Osijek,Court 1,39280,Croatia
12295490,Osijek,Court 7,34770,Croatia
12295491,Osijek,Court 4,34775,Croatia
12295492,Osijek,Court 7,34770,Croatia
12295493,Osijek,Court 4,34775,Croatia
12295516,Monastir,Court 5,23362,Tunisia
12295517,Lopota,Court 3,44180,Georgia
12295525,Antalya,Court 20,28269,Turkey
12295535,Nottingham,Court 6,23510,England
12295538,Saint Malo,Central,29581,France
12295539,Nottingham,Court 2,17205,England
12295550,Nottingham,Court 5,17221,England
12295551,Varberg,Court 2,25155,Sweden
12295552,Lopota,Court 2,44182,Georgia
12295553,Varberg,Court 4,25158,Sweden
12295554,Varberg,Court 1,25157,Sweden
12295555,Varberg,Court 3,25156,Sweden
12295556,Varberg,Court 4,25158,Sweden
12295557,Varberg,Court 4,25158,Sweden
12295558,Varberg,Court 2,25155,Sweden
12295588,Nottingham,Show Court,44196,England
12295590,Aix-en-Provence,Court Nissan,21546,France
12295591,Aix-en-Provence,Court Nissan,21546,France
12295592,Aix-en-Provence,Court Nissan,21546,France
12295593,Aix-en-Provence,Court Eiffage,39317,France
12295614,Wiesbaden,Court 4,21334,Germany
12295719,Cagliari,Campo 14,31783,Italy
12295720,Cagliari,Campo 14,31783,Italy
12295722,Cagliari,Campo 2,31784,Italy
12295735,Nottingham,Court 4,17207,England
12295809,Porto Alegre,Indoor 1,44263,Brazil
12295812,Varberg,Court 1,25157,Sweden
12295817,Antalya,Court 2,31437,Turkey
12295820,Sabadell,Court 3,18546,Spain
12295821,Sabadell,Court 7,39290,Spain
12295822,Sabadell,Court 2,23734,Spain
12295823,Sabadell,Court 5,18633,Spain
12295824,Sabadell,Court 6,39291,Spain
12295825,Sabadell,Court 7,39290,Spain
12295826,Sabadell,Court 2,23734,Spain
12295831,Antalya,Court 5,18121,Turkey
12295832,Antalya,Court 2,31437,Turkey
12295833,Antalya,Court 5,18121,Turkey
12295834,Antalya,Court 5,18121,Turkey
12295835,Antalya,Court 22,28265,Turkey
12295836,Antalya,Court 1,17286,Turkey
12295837,Antalya,Court 20,28269,Turkey
12295838,Antalya,Court 1,17286,Turkey
12295840,Osijek,Court 8,34774,Croatia
12295842,Wiesbaden,Court 4,21334,Germany
12295843,Lleida,Court 2,44262,Spain
12295844,Lleida,Court 2,44262,Spain
12295845,Lleida,Centre Court,44253,Spain
12295846,Lleida,Court 1,44254,Spain
12296103,Orange Park,Court 3,21200,USA
12296104,Orange Park,Court 1,21195,USA
12296105,Orange Park,Court 4,21199,USA
12296106,Orange Park,Court 3,21200,USA
12296107,Orange Park,Court 2,21201,USA
12296108,Orange Park,Court 3,21200,USA
12296109,Orange Park,Court 4,21199,USA
12296151,"Boca Raton, FL",Court 11,37879,USA
12296152,"Boca Raton, FL",Court 8,37293,USA
12296153,"Boca Raton, FL",Court 10,37861,USA
12296154,"Boca Raton, FL",Court 8,37293,USA
12296155,"Boca Raton, FL",Court 12,44271,USA
12296156,"Boca Raton, FL",Court 7,37296,USA
12296157,"Boca Raton, FL",Court 11,37879,USA
12296158,"Boca Raton, FL",Court 7,37296,USA
12296178,Bonita Springs,Championship Court,34729,USA
12296179,Bonita Springs,Court 2,32078,USA
12296180,Bonita Springs,Championship Court,34729,USA
12296181,Bonita Springs,Court 2,32078,USA
12296182,Bonita Springs,Championship Court,34729,USA
12296183,Bonita Springs,Grandstand,25130,USA
12296184,Bonita Springs,Grandstand,25130,USA
12296185,Bonita Springs,Grandstand,25130,USA
12297018,Gifu,Centre Court,44244,Japan
12297020,Gifu,Court B3,44242,Japan
12297021,Xalapa,Court 3,44232,Mexico
12297022,Xalapa,Stadium,44258,Mexico
12297023,Xalapa,Court 3,44232,Mexico
12297024,Xalapa,Stadium,44258,Mexico
12297025,Xalapa,Court 3,44232,Mexico
12297026,Xalapa,Court 5,44234,Mexico
12297034,Gifu,Centre Court,44244,Japan
12297159,Gifu,Court B6,44246,Japan
12297170,Gifu,Centre Court,44244,Japan
12297278,Gifu,Court B1,44243,Japan
12297336,Gifu,Court B4,44245,Japan
12297534,Kursumlijska Banja,Court 3,39051,Serbia
12297556,Osijek,Court 1,39280,Croatia
12297559,Wiesbaden,Court 3,21333,Germany
12297572,Gifu,Court B6,44246,Japan
12297576,Sabadell,Court 3,18546,Spain
12297589,Varberg,Court 4,25158,Sweden
12297590,Sabadell,Court 2,23734,Spain
12297602,Osijek,Court 7,34770,Croatia
12297618,Osijek,Court 5,34773,Croatia
12297633,Sabadell,Court 4,18547,Spain
12297637,Kursumlijska Banja,Court 4,39044,Serbia
12297638,Kursumlijska Banja,Court 1,39048,Serbia
12297639,Kursumlijska Banja,Court 2,39050,Serbia
12297640,Kursumlijska Banja,Court 3,39051,Serbia
12297641,Kursumlijska Banja,Court 1,39048,Serbia
12297668,Monastir,Court 4,23364,Tunisia
12297671,Lopota,Court 2,44182,Georgia
12297674,Lopota,Center Court,44179,Georgia
12297681,Sabadell,Court 5,18633,Spain
12297684,Sabadell,Court 5,18633,Spain
12297685,Sabadell,Court 4,18547,Spain
12297726,Osijek,Court 5,34773,Croatia
12297727,Osijek,Court 6,34771,Croatia
12297740,Monastir,Centre Court,34777,Tunisia
12297741,Monastir,Court 6,23890,Tunisia
12297748,Lopota,Court 4,44198,Georgia
12297768,Monastir,Centre Court,34777,Tunisia
12297824,Antalya,Court 21,28266,Turkey
12297825,Antalya,Court 4,18123,Turkey
12297826,Antalya,Court 20,28269,Turkey
12297827,Antalya,Court 4,18123,Turkey
12297828,Antalya,Court 5,18121,Turkey
12297842,Nottingham,Court 4,17207,England
12297843,Nottingham,Show Court,44196,England
12297844,Nottingham,Show Court,44196,England
12297878,Antalya,Court 2,31437,Turkey
12297879,Osijek,Court 6,34771,Croatia
12297880,Osijek,Court 4,34775,Croatia
12297881,Osijek,Court 6,34771,Croatia
12297903,Osijek,Court 8,34774,Croatia
12297924,Lopota,Court 3,44180,Georgia
12297964,Antalya,Court 3,18122,Turkey
12297965,Antalya,Court 22,28265,Turkey
12297966,Antalya,Court 1,17286,Turkey
12297967,Antalya,Court 3,18122,Turkey
12297978,Osijek,Court 4,34775,Croatia
12297986,Nottingham,Court 6,23510,England
12297990,Aix-en-Provence,Court Eiffage,39317,France
12298012,Monastir,Court 2,23360,Tunisia
12298014,Monastir,Court 1,23881,Tunisia
12298044,Monastir,Court 3,23363,Tunisia
12298084,Osijek,Court 4,34775,Croatia
12298086,Osijek,Court 7,34770,Croatia
12298087,Wiesbaden,Centre Court,44225,Germany
12298088,Wiesbaden,Court 3,21333,Germany
12298097,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
12298098,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
12298099,Kursumlijska Banja,Court 2,39050,Serbia
12298100,Kursumlijska Banja,Court 4,39044,Serbia
12298101,Kursumlijska Banja,COURT VIKTOR TROICKI,39706,Serbia
12298103,Kursumlijska Banja,Court 4,39044,Serbia
12298149,Varberg,Court 4,25158,Sweden
12298150,Varberg,Court 3,25156,Sweden
12298151,Varberg,Court 1,25157,Sweden
12298152,Varberg,Court 4,25158,Sweden
12298153,Varberg,Court 2,25155,Sweden
12298187,Varberg,Court 2,25155,Sweden
12298211,Yecla,Court 3,39668,Spain
12298213,Yecla,Court 2,39665,Spain
12298214,Yecla,Court 1,39667,Spain
12298215,Yecla,Court 1,39667,Spain
12298221,Kursumlijska Banja,Court 2,39050,Serbia
12298225,Kursumlijska Banja,Court 1,39048,Serbia
12298245,Wiesbaden,Centre Court,44225,Germany
12298247,Wiesbaden,Centre Court,44225,Germany
12298275,Hammamet,Court 5,18337,Tunisia
12298276,Hammamet,Court 3,18292,Tunisia
12298277,Hammamet,Court 4,18290,Tunisia
12298278,Hammamet,Court 3,18292,Tunisia
12298279,Hammamet,Court 4,18290,Tunisia
12298336,Nottingham,Court 1,17202,England
12298337,Nottingham,Court 6,23510,England
12298341,Nottingham,Court 1,17202,England
12298343,Sabadell,Court 3,18546,Spain
12298345,Sabadell,Court 2,23734,Spain
12298371,Antalya,Court 5,18121,Turkey
12298372,Antalya,Court 21,28266,Turkey
12298375,Antalya,Court 22,28265,Turkey
12298376,Antalya,Court 1,17286,Turkey
12298406,Osijek,Court 5,34773,Croatia
12298407,Osijek,Court 8,34774,Croatia
12298410,Kursumlijska Banja,Court 3,39051,Serbia
12298411,Kursumlijska Banja,Court 4,39044,Serbia
12298430,Wiesbaden,Court 3,21333,Germany
12298434,Osijek,Court 7,34770,Croatia
12298436,Yecla,Court 2,39665,Spain
12298438,Yecla,Court 1,39667,Spain
12298445,Monastir,Court 6,23890,Tunisia
12298447,Monastir,Court 5,23362,Tunisia
12298448,Monastir,Centre Court,34777,Tunisia
12298449,Monastir,Court 2,23360,Tunisia
12298450,Monastir,Court 1,23881,Tunisia
12298451,Monastir,Court 3,23363,Tunisia
12298452,Monastir,Court 4,23364,Tunisia
12298457,Varberg,Court 3,25156,Sweden
12298492,Osijek,Court 4,34775,Croatia
12298541,Porto Alegre,Indoor 2,44264,Brazil
12298630,Xalapa,Court 3,44232,Mexico
12298718,"Boca Raton, FL",Court 11,37879,USA
12298767,"Boca Raton, FL",Stadium,44256,USA
12298791,Porto Alegre,Indoor 2,44264,Brazil
12260078,Madrid,Manolo Santana,21462,Spain
12260081,Madrid,Manolo Santana,21462,Spain
12260084,Madrid,Manolo Santana,21462,Spain
